customer_id,total_payments,failure_count,failure_rate,total_amount_failed,risk_score,risk_category
C1343,6,3,0.5,146.5,0.301,HIGH
C2616,6,3,0.5,144.25,0.301,HIGH
C3234,6,3,0.5,95.33,0.301,HIGH
C1661,13,5,0.3846,1285.03,0.2993,HIGH
C0760,13,5,0.3846,383.38,0.2993,HIGH
C1355,13,5,0.3846,279.43,0.2993,HIGH
C2894,13,5,0.3846,278.86,0.2993,HIGH
C3270,13,5,0.3846,228.06,0.2993,HIGH
C4183,13,5,0.3846,211.93,0.2993,HIGH
C2797,13,5,0.3846,160.58,0.2993,HIGH
C4210,17,6,0.3529,302.97,0.2983,HIGH
C0670,17,6,0.3529,226.49,0.2983,HIGH
C2656,18,6,0.3333,2568.0,0.2817,HIGH
C3695,18,6,0.3333,483.47,0.2817,HIGH
C2526,10,4,0.4,3318.77,0.2796,HIGH
C2921,10,4,0.4,421.07,0.2796,HIGH
C3632,10,4,0.4,373.3,0.2796,HIGH
C0263,10,4,0.4,290.34,0.2796,HIGH
C1379,10,4,0.4,268.36,0.2796,HIGH
C0441,10,4,0.4,193.2,0.2796,HIGH
C3858,10,4,0.4,181.45,0.2796,HIGH
C2521,10,4,0.4,175.73,0.2796,HIGH
C4112,10,4,0.4,175.36,0.2796,HIGH
C4973,10,4,0.4,155.53,0.2796,HIGH
C2723,10,4,0.4,154.23,0.2796,HIGH
C0166,10,4,0.4,150.32,0.2796,HIGH
C2719,10,4,0.4,106.91,0.2796,HIGH
C1851,14,5,0.3571,406.38,0.2779,HIGH
C1300,14,5,0.3571,334.24,0.2779,HIGH
C1971,14,5,0.3571,316.04,0.2779,HIGH
C0357,14,5,0.3571,263.05,0.2779,HIGH
C4342,14,5,0.3571,181.65,0.2779,HIGH
C1549,14,5,0.3571,172.6,0.2779,HIGH
C2486,14,5,0.3571,168.27,0.2779,HIGH
C4302,14,5,0.3571,165.36,0.2779,HIGH
C4788,14,5,0.3571,147.03,0.2779,HIGH
C1101,19,6,0.3158,160.91,0.2669,HIGH
C2531,15,5,0.3333,4084.42,0.2594,HIGH
C2096,15,5,0.3333,2826.48,0.2594,HIGH
C0178,15,5,0.3333,2344.0,0.2594,HIGH
C1577,15,5,0.3333,371.34,0.2594,HIGH
C3252,15,5,0.3333,246.34,0.2594,HIGH
C3271,15,5,0.3333,214.78,0.2594,HIGH
C4052,7,3,0.4286,4503.66,0.258,HIGH
C3337,7,3,0.4286,4406.59,0.258,HIGH
C0979,7,3,0.4286,761.37,0.258,HIGH
C4840,7,3,0.4286,267.47,0.258,HIGH
C3343,7,3,0.4286,243.7,0.258,HIGH
C0348,7,3,0.4286,215.38,0.258,HIGH
C3164,7,3,0.4286,203.03,0.258,HIGH
C1169,7,3,0.4286,196.75,0.258,HIGH
C4618,7,3,0.4286,186.8,0.258,HIGH
C4731,7,3,0.4286,181.34,0.258,HIGH
C2039,7,3,0.4286,173.82,0.258,HIGH
C2320,7,3,0.4286,166.55,0.258,HIGH
C2694,7,3,0.4286,163.5,0.258,HIGH
C2105,7,3,0.4286,154.77,0.258,HIGH
C1197,7,3,0.4286,140.88,0.258,HIGH
C1012,7,3,0.4286,134.3,0.258,HIGH
C2761,7,3,0.4286,111.79,0.258,HIGH
C4673,7,3,0.4286,100.54,0.258,HIGH
C0468,7,3,0.4286,96.37,0.258,HIGH
C2094,7,3,0.4286,77.9,0.258,HIGH
C4738,7,3,0.4286,64.66,0.258,HIGH
C4255,7,3,0.4286,52.92,0.258,HIGH
C1142,11,4,0.3636,6386.18,0.2542,HIGH
C4040,11,4,0.3636,4462.76,0.2542,HIGH
C0198,11,4,0.3636,2036.52,0.2542,HIGH
C1719,11,4,0.3636,402.22,0.2542,HIGH
C2256,11,4,0.3636,373.98,0.2542,HIGH
C2762,11,4,0.3636,368.76,0.2542,HIGH
C1855,11,4,0.3636,364.77,0.2542,HIGH
C1153,11,4,0.3636,356.54,0.2542,HIGH
C1823,11,4,0.3636,329.4,0.2542,HIGH
C4913,11,4,0.3636,325.5,0.2542,HIGH
C3479,11,4,0.3636,317.29,0.2542,HIGH
C1041,11,4,0.3636,270.44,0.2542,HIGH
C3779,11,4,0.3636,268.61,0.2542,HIGH
C3436,11,4,0.3636,234.65,0.2542,HIGH
C2564,11,4,0.3636,232.05,0.2542,HIGH
C1750,11,4,0.3636,231.96,0.2542,HIGH
C4979,11,4,0.3636,215.21,0.2542,HIGH
C1043,11,4,0.3636,212.79,0.2542,HIGH
C2883,11,4,0.3636,209.35,0.2542,HIGH
C0036,11,4,0.3636,205.46,0.2542,HIGH
C1688,11,4,0.3636,202.63,0.2542,HIGH
C0862,11,4,0.3636,202.09,0.2542,HIGH
C3302,11,4,0.3636,200.58,0.2542,HIGH
C4430,11,4,0.3636,187.36,0.2542,HIGH
C1585,11,4,0.3636,151.88,0.2542,HIGH
C4789,11,4,0.3636,150.61,0.2542,HIGH
C1242,11,4,0.3636,140.02,0.2542,HIGH
C2091,11,4,0.3636,134.3,0.2542,HIGH
C4723,11,4,0.3636,92.5,0.2542,HIGH
C0943,11,4,0.3636,88.66,0.2542,HIGH
C3518,20,6,0.3,503.78,0.2535,HIGH
C3331,16,5,0.3125,4944.19,0.2432,HIGH
C0236,16,5,0.3125,4757.19,0.2432,HIGH
C3304,16,5,0.3125,3100.09,0.2432,HIGH
C0934,16,5,0.3125,2879.72,0.2432,HIGH
C0962,16,5,0.3125,438.79,0.2432,HIGH
C4988,16,5,0.3125,260.88,0.2432,HIGH
C4380,16,5,0.3125,244.32,0.2432,HIGH
C1266,16,5,0.3125,159.47,0.2432,HIGH
C0034,21,6,0.2857,328.48,0.2415,HIGH
C0993,4,2,0.5,273.16,0.2386,HIGH
C4685,4,2,0.5,256.67,0.2386,HIGH
C2089,12,4,0.3333,2735.65,0.233,HIGH
C1759,12,4,0.3333,409.11,0.233,HIGH
C3984,12,4,0.3333,357.39,0.233,HIGH
C1070,12,4,0.3333,325.46,0.233,HIGH
C2835,12,4,0.3333,282.31,0.233,HIGH
C3027,12,4,0.3333,262.35,0.233,HIGH
C0112,12,4,0.3333,254.44,0.233,HIGH
C2265,12,4,0.3333,249.04,0.233,HIGH
C4985,12,4,0.3333,242.57,0.233,HIGH
C3677,12,4,0.3333,236.34,0.233,HIGH
C1626,12,4,0.3333,226.24,0.233,HIGH
C1728,12,4,0.3333,222.05,0.233,HIGH
C1482,12,4,0.3333,220.5,0.233,HIGH
C2782,12,4,0.3333,200.38,0.233,HIGH
C0884,12,4,0.3333,199.12,0.233,HIGH
C1287,12,4,0.3333,194.25,0.233,HIGH
C3923,12,4,0.3333,190.93,0.233,HIGH
C3661,12,4,0.3333,182.35,0.233,HIGH
C3170,12,4,0.3333,171.22,0.233,HIGH
C0391,12,4,0.3333,151.22,0.233,HIGH
C1890,12,4,0.3333,145.39,0.233,HIGH
C1311,12,4,0.3333,132.53,0.233,HIGH
C1582,12,4,0.3333,128.87,0.233,HIGH
C2371,12,4,0.3333,118.86,0.233,HIGH
C2944,12,4,0.3333,99.57,0.233,HIGH
C3459,12,4,0.3333,91.57,0.233,HIGH
C3650,12,4,0.3333,65.2,0.233,HIGH
C2770,17,5,0.2941,2049.16,0.2289,HIGH
C4587,17,5,0.2941,417.02,0.2289,HIGH
C1645,17,5,0.2941,387.03,0.2289,HIGH
C3841,17,5,0.2941,336.19,0.2289,HIGH
C1467,8,3,0.375,2906.28,0.2258,HIGH
C3497,8,3,0.375,2343.25,0.2258,HIGH
C3110,8,3,0.375,2029.87,0.2258,HIGH
C0039,8,3,0.375,633.57,0.2258,HIGH
C2729,8,3,0.375,370.98,0.2258,HIGH
C4075,8,3,0.375,331.63,0.2258,HIGH
C0583,8,3,0.375,317.15,0.2258,HIGH
C2713,8,3,0.375,274.48,0.2258,HIGH
C2376,8,3,0.375,265.71,0.2258,HIGH
C3067,8,3,0.375,252.04,0.2258,HIGH
C2866,8,3,0.375,247.41,0.2258,HIGH
C1729,8,3,0.375,229.58,0.2258,HIGH
C3078,8,3,0.375,225.18,0.2258,HIGH
C0093,8,3,0.375,216.11,0.2258,HIGH
C3845,8,3,0.375,210.52,0.2258,HIGH
C2194,8,3,0.375,203.35,0.2258,HIGH
C0310,8,3,0.375,196.55,0.2258,HIGH
C2912,8,3,0.375,193.93,0.2258,HIGH
C1763,8,3,0.375,181.08,0.2258,HIGH
C3174,8,3,0.375,168.35,0.2258,HIGH
C4598,8,3,0.375,163.91,0.2258,HIGH
C3046,8,3,0.375,157.4,0.2258,HIGH
C1150,8,3,0.375,156.26,0.2258,HIGH
C0144,8,3,0.375,150.39,0.2258,HIGH
C1385,8,3,0.375,147.38,0.2258,HIGH
C0905,8,3,0.375,146.35,0.2258,HIGH
C1525,8,3,0.375,145.29,0.2258,HIGH
C2124,8,3,0.375,141.89,0.2258,HIGH
C2200,8,3,0.375,132.71,0.2258,HIGH
C0605,8,3,0.375,132.44,0.2258,HIGH
C3287,8,3,0.375,127.08,0.2258,HIGH
C0131,8,3,0.375,125.56,0.2258,HIGH
C4708,8,3,0.375,120.66,0.2258,HIGH
C2926,8,3,0.375,119.23,0.2258,HIGH
C1690,8,3,0.375,117.56,0.2258,HIGH
C1752,8,3,0.375,117.13,0.2258,HIGH
C0465,8,3,0.375,115.97,0.2258,HIGH
C4868,8,3,0.375,113.04,0.2258,HIGH
C0055,8,3,0.375,108.31,0.2258,HIGH
C3377,8,3,0.375,104.16,0.2258,HIGH
C2042,8,3,0.375,94.51,0.2258,HIGH
C4530,8,3,0.375,93.59,0.2258,HIGH
C1198,8,3,0.375,88.49,0.2258,HIGH
C3624,8,3,0.375,86.05,0.2258,HIGH
C3766,8,3,0.375,84.79,0.2258,HIGH
C4074,8,3,0.375,77.24,0.2258,HIGH
C3663,8,3,0.375,75.11,0.2258,HIGH
C0461,8,3,0.375,74.49,0.2258,HIGH
C0939,8,3,0.375,73.76,0.2258,HIGH
C4022,8,3,0.375,68.4,0.2258,HIGH
C4359,18,5,0.2778,365.74,0.2162,HIGH
C2326,18,5,0.2778,240.12,0.2162,HIGH
C1033,18,5,0.2778,207.39,0.2162,HIGH
C1294,18,5,0.2778,199.68,0.2162,HIGH
C0328,13,4,0.3077,2552.03,0.2151,HIGH
C4319,13,4,0.3077,694.28,0.2151,HIGH
C1826,13,4,0.3077,618.87,0.2151,HIGH
C4089,13,4,0.3077,326.31,0.2151,HIGH
C3259,13,4,0.3077,318.77,0.2151,HIGH
C4773,13,4,0.3077,290.07,0.2151,HIGH
C3101,13,4,0.3077,262.13,0.2151,HIGH
C3108,13,4,0.3077,260.93,0.2151,HIGH
C1245,13,4,0.3077,245.54,0.2151,HIGH
C2871,13,4,0.3077,245.01,0.2151,HIGH
C0035,13,4,0.3077,227.6,0.2151,HIGH
C2102,13,4,0.3077,226.82,0.2151,HIGH
C0606,13,4,0.3077,223.37,0.2151,HIGH
C1516,13,4,0.3077,202.2,0.2151,HIGH
C4573,13,4,0.3077,199.57,0.2151,HIGH
C3870,13,4,0.3077,192.06,0.2151,HIGH
C4952,13,4,0.3077,168.94,0.2151,HIGH
C2130,13,4,0.3077,162.59,0.2151,HIGH
C1400,13,4,0.3077,158.32,0.2151,HIGH
C0331,13,4,0.3077,153.8,0.2151,HIGH
C3003,13,4,0.3077,146.61,0.2151,HIGH
C3685,13,4,0.3077,140.19,0.2151,HIGH
C4083,13,4,0.3077,136.73,0.2151,HIGH
C1603,13,4,0.3077,130.56,0.2151,HIGH
C0828,13,4,0.3077,124.87,0.2151,HIGH
C3372,13,4,0.3077,118.04,0.2151,HIGH
C4108,9,3,0.3333,4282.0,0.2007,HIGH
C1026,9,3,0.3333,4092.51,0.2007,HIGH
C2446,9,3,0.3333,4066.48,0.2007,HIGH
C3062,9,3,0.3333,3333.87,0.2007,HIGH
C1453,9,3,0.3333,1428.28,0.2007,HIGH
C3103,9,3,0.3333,1321.71,0.2007,HIGH
C1751,9,3,0.3333,403.73,0.2007,HIGH
C0547,9,3,0.3333,321.7,0.2007,HIGH
C4297,9,3,0.3333,320.05,0.2007,HIGH
C0965,9,3,0.3333,299.51,0.2007,HIGH
C1030,9,3,0.3333,292.68,0.2007,HIGH
C1375,9,3,0.3333,287.82,0.2007,HIGH
C4897,9,3,0.3333,279.39,0.2007,HIGH
C0143,9,3,0.3333,267.4,0.2007,HIGH
C3531,9,3,0.3333,234.4,0.2007,HIGH
C3388,9,3,0.3333,233.68,0.2007,HIGH
C0307,9,3,0.3333,231.14,0.2007,HIGH
C2249,9,3,0.3333,213.34,0.2007,HIGH
C3552,9,3,0.3333,209.73,0.2007,HIGH
C3912,9,3,0.3333,209.44,0.2007,HIGH
C3689,9,3,0.3333,206.36,0.2007,HIGH
C3785,9,3,0.3333,205.78,0.2007,HIGH
C4043,9,3,0.3333,187.48,0.2007,HIGH
C4986,9,3,0.3333,186.85,0.2007,HIGH
C3793,9,3,0.3333,184.93,0.2007,HIGH
C3697,9,3,0.3333,174.7,0.2007,HIGH
C0163,9,3,0.3333,158.13,0.2007,HIGH
C4936,9,3,0.3333,156.75,0.2007,HIGH
C1649,9,3,0.3333,156.29,0.2007,HIGH
C2468,9,3,0.3333,155.9,0.2007,HIGH
C4253,9,3,0.3333,152.31,0.2007,HIGH
C1575,9,3,0.3333,144.12,0.2007,HIGH
C2054,9,3,0.3333,143.72,0.2007,HIGH
C1913,9,3,0.3333,142.19,0.2007,HIGH
C3195,9,3,0.3333,141.97,0.2007,HIGH
C3679,9,3,0.3333,135.48,0.2007,HIGH
C0599,9,3,0.3333,126.46,0.2007,HIGH
C4280,9,3,0.3333,120.97,0.2007,HIGH
C3848,9,3,0.3333,116.15,0.2007,HIGH
C3181,9,3,0.3333,115.94,0.2007,HIGH
C3166,9,3,0.3333,113.72,0.2007,HIGH
C2231,9,3,0.3333,111.53,0.2007,HIGH
C4751,9,3,0.3333,109.64,0.2007,HIGH
C2160,9,3,0.3333,109.29,0.2007,HIGH
C0048,9,3,0.3333,105.76,0.2007,HIGH
C0624,9,3,0.3333,101.62,0.2007,HIGH
C2395,9,3,0.3333,94.58,0.2007,HIGH
C3467,9,3,0.3333,93.59,0.2007,HIGH
C0448,9,3,0.3333,77.88,0.2007,HIGH
C0901,9,3,0.3333,73.3,0.2007,HIGH
C1812,9,3,0.3333,73.0,0.2007,HIGH
C3712,9,3,0.3333,62.74,0.2007,HIGH
C4808,14,4,0.2857,3965.87,0.1997,MEDIUM
C2667,14,4,0.2857,1069.24,0.1997,MEDIUM
C0171,14,4,0.2857,515.82,0.1997,MEDIUM
C0023,14,4,0.2857,409.68,0.1997,MEDIUM
C1712,14,4,0.2857,369.38,0.1997,MEDIUM
C4498,14,4,0.2857,364.84,0.1997,MEDIUM
C3324,14,4,0.2857,363.63,0.1997,MEDIUM
C4716,14,4,0.2857,341.46,0.1997,MEDIUM
C0102,14,4,0.2857,338.01,0.1997,MEDIUM
C1927,14,4,0.2857,321.29,0.1997,MEDIUM
C1907,14,4,0.2857,301.8,0.1997,MEDIUM
C1022,14,4,0.2857,286.13,0.1997,MEDIUM
C2771,14,4,0.2857,278.38,0.1997,MEDIUM
C4381,14,4,0.2857,272.84,0.1997,MEDIUM
C2065,14,4,0.2857,270.21,0.1997,MEDIUM
C0251,14,4,0.2857,239.32,0.1997,MEDIUM
C4420,14,4,0.2857,231.98,0.1997,MEDIUM
C4698,14,4,0.2857,223.48,0.1997,MEDIUM
C3500,14,4,0.2857,195.66,0.1997,MEDIUM
C1985,14,4,0.2857,189.57,0.1997,MEDIUM
C4049,14,4,0.2857,185.17,0.1997,MEDIUM
C2769,14,4,0.2857,178.06,0.1997,MEDIUM
C3757,14,4,0.2857,172.93,0.1997,MEDIUM
C4572,14,4,0.2857,167.31,0.1997,MEDIUM
C2497,14,4,0.2857,135.18,0.1997,MEDIUM
C4409,14,4,0.2857,132.92,0.1997,MEDIUM
C4885,14,4,0.2857,120.12,0.1997,MEDIUM
C0043,14,4,0.2857,119.28,0.1997,MEDIUM
C4851,14,4,0.2857,113.71,0.1997,MEDIUM
C1850,14,4,0.2857,109.43,0.1997,MEDIUM
C1088,5,2,0.4,879.34,0.1908,MEDIUM
C2925,5,2,0.4,235.33,0.1908,MEDIUM
C0769,5,2,0.4,198.0,0.1908,MEDIUM
C1779,5,2,0.4,193.98,0.1908,MEDIUM
C0431,5,2,0.4,180.5,0.1908,MEDIUM
C3948,5,2,0.4,176.09,0.1908,MEDIUM
C3580,5,2,0.4,174.6,0.1908,MEDIUM
C1121,5,2,0.4,173.36,0.1908,MEDIUM
C1710,5,2,0.4,127.06,0.1908,MEDIUM
C2140,5,2,0.4,119.0,0.1908,MEDIUM
C4818,5,2,0.4,118.87,0.1908,MEDIUM
C1735,5,2,0.4,110.23,0.1908,MEDIUM
C3652,5,2,0.4,107.76,0.1908,MEDIUM
C0767,5,2,0.4,103.99,0.1908,MEDIUM
C3966,5,2,0.4,96.62,0.1908,MEDIUM
C0745,5,2,0.4,91.47,0.1908,MEDIUM
C3135,5,2,0.4,88.74,0.1908,MEDIUM
C0896,5,2,0.4,67.49,0.1908,MEDIUM
C4469,5,2,0.4,62.74,0.1908,MEDIUM
C0147,5,2,0.4,62.7,0.1908,MEDIUM
C4777,5,2,0.4,62.0,0.1908,MEDIUM
C1312,5,2,0.4,61.05,0.1908,MEDIUM
C2937,5,2,0.4,60.99,0.1908,MEDIUM
C2452,5,2,0.4,57.88,0.1908,MEDIUM
C3264,5,2,0.4,57.64,0.1908,MEDIUM
C4333,5,2,0.4,54.13,0.1908,MEDIUM
C1236,5,2,0.4,48.86,0.1908,MEDIUM
C2687,5,2,0.4,45.89,0.1908,MEDIUM
C0129,5,2,0.4,43.45,0.1908,MEDIUM
C2099,5,2,0.4,41.95,0.1908,MEDIUM
C3868,15,4,0.2667,446.65,0.1864,MEDIUM
C3520,15,4,0.2667,321.54,0.1864,MEDIUM
C1818,15,4,0.2667,302.68,0.1864,MEDIUM
C1223,15,4,0.2667,301.03,0.1864,MEDIUM
C1015,15,4,0.2667,294.6,0.1864,MEDIUM
C2915,15,4,0.2667,280.39,0.1864,MEDIUM
C3384,15,4,0.2667,257.59,0.1864,MEDIUM
C3131,15,4,0.2667,239.13,0.1864,MEDIUM
C4848,15,4,0.2667,217.29,0.1864,MEDIUM
C3471,15,4,0.2667,209.04,0.1864,MEDIUM
C2351,15,4,0.2667,174.02,0.1864,MEDIUM
C0770,15,4,0.2667,155.84,0.1864,MEDIUM
C2020,15,4,0.2667,155.19,0.1864,MEDIUM
C0070,15,4,0.2667,146.15,0.1864,MEDIUM
C0775,15,4,0.2667,143.72,0.1864,MEDIUM
C3203,15,4,0.2667,137.54,0.1864,MEDIUM
C0546,15,4,0.2667,137.23,0.1864,MEDIUM
C0902,15,4,0.2667,134.3,0.1864,MEDIUM
C1621,15,4,0.2667,131.64,0.1864,MEDIUM
C0628,15,4,0.2667,122.14,0.1864,MEDIUM
C0861,15,4,0.2667,107.19,0.1864,MEDIUM
C0454,15,4,0.2667,89.73,0.1864,MEDIUM
C0726,15,4,0.2667,89.22,0.1864,MEDIUM
C4554,10,3,0.3,4581.75,0.1806,MEDIUM
C3198,10,3,0.3,4257.07,0.1806,MEDIUM
C1345,10,3,0.3,4241.13,0.1806,MEDIUM
C1808,10,3,0.3,3833.35,0.1806,MEDIUM
C2960,10,3,0.3,3595.19,0.1806,MEDIUM
C0222,10,3,0.3,3547.74,0.1806,MEDIUM
C1643,10,3,0.3,3296.79,0.1806,MEDIUM
C2934,10,3,0.3,2800.21,0.1806,MEDIUM
C3142,10,3,0.3,2675.79,0.1806,MEDIUM
C4801,10,3,0.3,2627.89,0.1806,MEDIUM
C3073,10,3,0.3,2282.04,0.1806,MEDIUM
C4369,10,3,0.3,2041.52,0.1806,MEDIUM
C2755,10,3,0.3,1792.32,0.1806,MEDIUM
C4224,10,3,0.3,704.68,0.1806,MEDIUM
C0633,10,3,0.3,468.02,0.1806,MEDIUM
C1552,10,3,0.3,389.45,0.1806,MEDIUM
C3510,10,3,0.3,385.42,0.1806,MEDIUM
C0667,10,3,0.3,333.88,0.1806,MEDIUM
C0871,10,3,0.3,333.78,0.1806,MEDIUM
C0383,10,3,0.3,321.68,0.1806,MEDIUM
C2998,10,3,0.3,306.21,0.1806,MEDIUM
C1473,10,3,0.3,257.03,0.1806,MEDIUM
C4242,10,3,0.3,239.42,0.1806,MEDIUM
C1539,10,3,0.3,220.51,0.1806,MEDIUM
C4391,10,3,0.3,219.19,0.1806,MEDIUM
C2614,10,3,0.3,217.58,0.1806,MEDIUM
C2790,10,3,0.3,215.41,0.1806,MEDIUM
C2173,10,3,0.3,211.29,0.1806,MEDIUM
C1133,10,3,0.3,209.26,0.1806,MEDIUM
C4230,10,3,0.3,202.15,0.1806,MEDIUM
C2127,10,3,0.3,194.74,0.1806,MEDIUM
C4305,10,3,0.3,184.68,0.1806,MEDIUM
C3687,10,3,0.3,184.46,0.1806,MEDIUM
C0773,10,3,0.3,173.08,0.1806,MEDIUM
C1794,10,3,0.3,171.8,0.1806,MEDIUM
C0937,10,3,0.3,164.65,0.1806,MEDIUM
C4538,10,3,0.3,163.64,0.1806,MEDIUM
C2740,10,3,0.3,159.48,0.1806,MEDIUM
C2255,10,3,0.3,158.88,0.1806,MEDIUM
C0439,10,3,0.3,156.74,0.1806,MEDIUM
C1506,10,3,0.3,156.47,0.1806,MEDIUM
C3711,10,3,0.3,156.34,0.1806,MEDIUM
C4514,10,3,0.3,154.01,0.1806,MEDIUM
C2609,10,3,0.3,152.47,0.1806,MEDIUM
C4700,10,3,0.3,150.78,0.1806,MEDIUM
C2309,10,3,0.3,148.91,0.1806,MEDIUM
C1423,10,3,0.3,148.09,0.1806,MEDIUM
C0665,10,3,0.3,145.86,0.1806,MEDIUM
C0880,10,3,0.3,145.0,0.1806,MEDIUM
C1928,10,3,0.3,143.15,0.1806,MEDIUM
C2063,10,3,0.3,141.74,0.1806,MEDIUM
C4087,10,3,0.3,141.45,0.1806,MEDIUM
C0548,10,3,0.3,131.53,0.1806,MEDIUM
C3392,10,3,0.3,129.88,0.1806,MEDIUM
C2078,10,3,0.3,127.69,0.1806,MEDIUM
C0531,10,3,0.3,126.62,0.1806,MEDIUM
C3992,10,3,0.3,124.8,0.1806,MEDIUM
C2676,10,3,0.3,124.73,0.1806,MEDIUM
C2826,10,3,0.3,118.79,0.1806,MEDIUM
C2314,10,3,0.3,114.97,0.1806,MEDIUM
C4959,10,3,0.3,108.58,0.1806,MEDIUM
C1337,10,3,0.3,100.2,0.1806,MEDIUM
C2424,10,3,0.3,99.14,0.1806,MEDIUM
C3448,10,3,0.3,98.01,0.1806,MEDIUM
